month,county,closed_sales,median_price,active_listings,months_inventory,days_on_market,price_yoy_change,sales_yoy_change,price_index_2012_base100
2017-02-01,Montgomery County,650,246000.0,3355,5.2,83,0.1289582377,0.1463844797,149.1
2017-03-01,Montgomery County,861,245000.0,3684,4.3,71,0.0652173913,0.05904059041,148.5
2017-04-01,Montgomery County,828,242500.0,3921,4.7,43,-0.03,0.09379128137,147.0
2017-05-01,Montgomery County,1071,249900.0,4061,3.8,42,-0.0196155355,0.1717724289,151.5
2017-06-01,Montgomery County,1142,255000.0,4286,3.8,40,0.02,0.128458498,154.5
2017-07-01,Montgomery County,999,250500.0,4184,4.2,44,-0.01377952756,0.1112347052,151.8
2017-08-01,Montgomery County,856,249750.0,4080,4.8,49,-0.03235180163,-0.1431431431,151.4
2017-09-01,Montgomery County,944,250644.5,3760,4.0,51,0.06657234043,0.1092831962,151.9
2017-10-01,Montgomery County,862,240000.0,3579,4.2,69,-0.00826446281,0.1808219178,145.5
2017-11-01,Montgomery County,802,247915.0,3464,4.3,70,0.03297916667,0.1185495119,150.3
2017-12-01,Montgomery County,882,248000.0,3182,3.6,61,0.01641427078,0.1697612732,150.3
2018-01-01,Montgomery County,583,240000.0,3056,5.2,80,0.03079500064,0.2564655172,145.5
2018-02-01,Montgomery County,669,234900.0,3084,4.6,72,-0.04512195122,0.02923076923,142.4
2018-03-01,Montgomery County,901,244900.0,3272,3.6,67,-0.0004081632653,0.04645760743,148.4
2018-04-01,Montgomery County,954,269490.5,3514,3.7,38,0.1113010309,0.152173913,163.3
2018-05-01,Montgomery County,1114,269000.0,3692,3.3,35,0.07643057223,0.04014939309,163.0
2018-06-01,Montgomery County,1140,263900.0,3830,3.4,36,0.03490196078,-0.001751313485,159.9
2018-07-01,Montgomery County,1088,261000.0,3891,3.6,36,0.04191616766,0.08908908909,158.2
2018-08-01,Montgomery County,1086,259540.0,3839,3.5,41,0.0391991992,0.2686915888,157.3
2018-09-01,Montgomery County,805,251000.0,3671,4.6,50,0.00141834351,-0.1472457627,152.1
