month,market_area,closed_sales,pending_sales,active_listings,new_listings,months_inventory,median_price,days_on_market,sale_to_list_ratio,single_family_permits,multi_family_permits,mortgage_rate_30yr,zhvi_typical_home_value,price_yoy_change,sales_yoy_change,inventory_yoy_change,dom_yoy_change,permit_yoy_change,affordability_pressure_index,market_condition_score,market_condition_label
2015-08-01,"Houston, TX metro area",7783.0,9351.0,23554.0,9239.0,3.0,215000.0,28.0,0.9768,535.0,227.0,3.905,192665.61,0.0591,-0.0215,0.1545,2.0,-0.615,-0.589,0.044,balanced
2015-09-01,"Houston, TX metro area",7143.0,8380.0,23568.0,8398.0,3.3,207000.0,31.0,0.9738,357.0,561.0,3.89,193853.0,0.0526,0.0264,0.1975,1.0,-0.7287,-0.661,-0.03,balanced
2015-10-01,"Houston, TX metro area",6287.0,8521.0,23454.0,8062.0,3.7,204900.0,38.0,0.9712,339.0,1252.0,3.796,194951.95,0.0672,-0.1058,0.2317,2.0,1.2925,-0.713,-0.316,balanced
2015-11-01,"Houston, TX metro area",5015.0,6986.0,22576.0,6404.0,4.5,200120.0,40.0,0.9699,410.0,631.0,3.942,195915.52,0.0164,-0.0962,0.2282,1.0,-0.3187,-0.698,-0.641,cooler
2015-12-01,"Houston, TX metro area",6754.0,6181.0,21163.0,5309.0,3.1,217965.0,45.0,0.9684,319.0,699.0,3.964,196942.7,0.0402,-0.0346,0.2327,5.0,-0.4907,-0.543,-0.287,balanced
2016-01-01,"Houston, TX metro area",4378.0,7106.0,21976.0,8039.0,5.0,200000.0,50.0,0.9677,303.0,280.0,3.872,198115.39,0.0526,0.0034,0.2005,7.0,-0.4479,-0.725,-0.515,cooler
2016-02-01,"Houston, TX metro area",5067.0,8874.0,22728.0,8925.0,4.5,202000.0,50.0,0.9684,262.0,759.0,3.66,199246.55,0.0202,0.0297,0.1972,9.0,-0.4508,-0.788,-0.517,cooler
2016-03-01,"Houston, TX metro area",6812.0,10899.0,23810.0,10363.0,3.5,212500.0,39.0,0.9715,333.0,847.0,3.694,200005.86,0.0241,0.0309,0.2222,8.0,0.5882,-0.689,-0.26,balanced
2016-04-01,"Houston, TX metro area",6841.0,10676.0,24132.0,9884.0,3.5,216500.0,31.0,0.9735,402.0,394.0,3.605,200629.14,0.0479,-0.0113,0.1795,1.0,-0.4555,-0.689,-0.116,balanced
2016-05-01,"Houston, TX metro area",7805.0,11471.0,24764.0,10306.0,3.2,224900.0,32.0,0.9739,392.0,206.0,3.6,201227.1,0.0223,0.0779,0.1553,4.0,-0.4267,-0.622,-0.029,balanced
2016-06-01,"Houston, TX metro area",8390.0,10767.0,25874.0,10697.0,3.1,229900.0,32.0,0.9746,388.0,905.0,3.568,201963.24,0.0315,0.0068,0.1655,7.0,-0.2053,-0.593,-0.084,balanced
2016-07-01,"Houston, TX metro area",7593.0,9523.0,26404.0,10322.0,3.5,229900.0,30.0,0.9752,374.0,365.0,3.44,202451.84,0.0522,-0.1031,0.128,2.0,-0.7598,-0.641,-0.169,balanced
2016-08-01,"Houston, TX metro area",8419.0,8665.0,26051.0,9210.0,3.1,225000.0,33.0,0.9729,357.0,368.0,3.435,202831.48,0.0465,0.0817,0.106,5.0,-0.0486,-0.683,0.12,balanced
2016-09-01,"Houston, TX metro area",7053.0,7869.0,25884.0,8239.0,3.7,216500.0,36.0,0.9719,302.0,244.0,3.46,203352.66,0.0459,-0.0126,0.0983,5.0,-0.4052,-0.744,-0.13,balanced
2016-10-01,"Houston, TX metro area",6359.0,7617.0,25256.0,7836.0,4.0,215000.0,42.0,0.9713,415.0,343.0,3.47,204031.35,0.0493,0.0115,0.0768,4.0,-0.5236,-0.752,-0.168,balanced
2016-11-01,"Houston, TX metro area",6152.0,6779.0,24145.0,6613.0,3.9,223000.0,47.0,0.9712,336.0,145.0,3.77,204902.49,0.1143,0.2267,0.0695,7.0,-0.5379,-0.574,0.35,balanced
2016-12-01,"Houston, TX metro area",7008.0,5641.0,22435.0,5178.0,3.2,225000.0,50.0,0.9687,359.0,219.0,4.198,205690.14,0.0323,0.0376,0.0601,5.0,-0.4322,-0.398,-0.123,balanced
2017-01-01,"Houston, TX metro area",4398.0,7257.0,22451.0,8065.0,5.1,209250.0,54.0,0.9658,607.0,224.0,4.15,206351.8,0.0462,0.0046,0.0216,4.0,0.4254,-0.545,-0.428,balanced
2017-02-01,"Houston, TX metro area",5406.0,7838.0,23126.0,8797.0,4.3,220520.0,59.0,0.9695,469.0,210.0,4.168,206779.79,0.0917,0.0669,0.0175,9.0,-0.335,-0.446,-0.082,balanced
